title,tag_line,year,rating,genre,certificate,run_time,budget,revenue
The Shawshank Redemption,Fear can hold you prisoner. Hope can set you free.,1994,9.3,Drama,R,142,25000000.0,28884504.0
The Godfather,An offer you can't refuse.,1972,9.2,"Crime,Drama",R,175,6000000.0,250341816.0
The Dark Knight,Why So Serious?,2008,9.0,"Action,Crime,Drama",PG-13,152,185000000.0,1006234167.0
The Godfather Part II,All the power on earth can't change destiny.,1974,9.0,"Crime,Drama",R,202,13000000.0,47961919.0
12 Angry Men,Life Is In Their Hands -- Death Is On Their Minds!,1957,9.0,"Crime,Drama",Approved,96,350000.0,955.0
Schindler's List,"Whoever saves one life, saves the world entire.",1993,9.0,"Biography,Drama,History",R,195,22000000.0,322161245.0
The Lord of the Rings: The Return of the King,The eye of the enemy is moving.,2003,9.0,"Action,Adventure,Drama",PG-13,201,94000000.0,1146457748.0
Pulp Fiction,Girls like me don't make invitations like this to just anyone!,1994,8.9,"Crime,Drama",R,154,8000000.0,213928762.0
The Lord of the Rings: The Fellowship of the Ring,The Legend Comes to Life,2001,8.8,"Action,Adventure,Drama",PG-13,178,93000000.0,898204420.0
"The Good, the Bad and the Ugly",They formed an alliance of hate to steal a fortune in dead man's gold,1966,8.8,"Adventure,Western",Approved,178,1200000.0,25253887.0
Forrest Gump,The story of a lifetime.,1994,8.8,"Drama,Romance",PG-13,142,55000000.0,678226465.0
Fight Club,How much can you know about yourself if you've never been in a fight?,1999,8.8,Drama,R,139,63000000.0,101209702.0
The Lord of the Rings: The Two Towers,A New Power Is Rising.,2002,8.8,"Action,Adventure,Drama",PG-13,179,94000000.0,947944270.0
Inception,Your mind is the scene of the crime,2010,8.8,"Action,Adventure,Sci-Fi",PG-13,148,160000000.0,836848102.0
Star Wars: Episode V - The Empire Strikes Back,The Adventure Continues...,1980,8.7,"Action,Adventure,Fantasy",PG,124,18000000.0,538375067.0
The Matrix,Free your mind,1999,8.7,"Action,Sci-Fi",R,136,63000000.0,467222728.0
Goodfellas,"As far back as I can remember, I've always wanted to be a gangster."" -- Henry Hill, Brooklyn, N.Y. 1955.",1990,8.7,"Biography,Crime,Drama",R,145,25000000.0,47036784.0
One Flew Over the Cuckoo's Nest,"If he's crazy, what does that make you?",1975,8.7,Drama,18+,133,3000000.0,109114817.0
Se7en,"Long is the way, and hard, that out of hell leads up to light.",1995,8.6,"Crime,Drama,Mystery",R,127,33000000.0,327333559.0
Seven Samurai,Will Take Its Place With the Seven Greatest Films of All Time!,1954,8.6,"Action,Drama",Not Rated,207,125000000.0,346258.0
It's a Wonderful Life,"Frank Capra's...""It's a Wonderful Life"".",1946,8.6,"Drama,Family,Fantasy",PG,130,3180000.0,8574081.0
The Silence of the Lambs,"Dr. Hannibal Lecter. Brilliant. Cunning. Psychotic. In his mind lies the clue to a ruthless killer. - Clarice Starling, FBI. Brilliant. Vulnerable. Alone. She must trust him to stop the killer.",1991,8.6,"Crime,Drama,Thriller",R,118,19000000.0,272742922.0
